1, 6, 10
2, 9, 47
3, 23, 10
4, 5, 11
5, 4, 3
6, 1, 10
7, 11, 10
8, 9, 47
9, 47, 8
10, 3, 23
11, 7, 10
12, 9, 47
13, 50, 45
14, 15, 8
15, 8, 9
16, 19, 17
17, 16, 21
18, 20, 35
19, 16, 17
20, 18, 35
21, 22, 17
22, 21, 29
23, 3, 10
24, 25, 29
25, 24, 29
26, 35, 31
27, 40, 38
28, 52, 30
29, 22, 19
30, 28, 52
31, 35, 26
32, 54, 85
33, 36, 49
34, 38, 40
35, 33, 26
36, 33, 49
37, 29, 19
38, 40, 39
39, 38, 40
40, 38, 27
41, 45, 53
42, 45, 53
43, 46, 8
44, 69, 63
45, 41, 42
46, 43, 8
47, 9, 8
48, 56, 63
49, 36, 50
50, 13, 49
51, 34, 27
52, 28, 30
53, 41, 42
54, 32, 85
55, 57, 59
56, 63, 48
57, 55, 59
58, 64, 39
59, 55, 57
60, 61, 41
61, 60, 70
62, 68, 28
63, 56, 65
64, 58, 39
65, 67, 66
66, 71, 65
67, 65, 66
68, 30, 28
69, 72, 71
70, 61, 60
71, 69, 72
72, 69, 71
73, 74, 75
74, 73, 75
75, 74, 73
76, 87, 89
77, 80, 81
78, 87, 89
79, 92, 81
80, 77, 81
81, 77, 80
82, 85, 54
83, 84, 55
84, 83, 55
85, 82, 54
86, 91, 90
87, 89, 76
88, 93, 86
89, 87, 76
90, 76, 86
91, 86, 90
92, 86, 91
93, 88, 86
